Index,Make and Model,Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","Quartermile, sec","Quartermile, mph",Braking 60–0 mph (feet),Power to Weight,PWRatio,Rating Category,,Color
17,ATK GT250R,4-Nov,4295,V-2,5,23.02,14.12,414,41.3,90.7,9.72,n/.a,16.78,75.09,128.3,17.98,0.06,Lightweight Sportbike,,#A6D854
364,B-King,3-Aug,12889,I-4,6,163.9,97.2,578,33.8,158,2.86,5.51,9.99,138.42,119.6,3.53,0.28,Open Standard,,#FFFFCC
359,Bandit 1200S,11/00,7399,I-4,5,101.7,73.8,542,37,151,3.07,6.97,10.75,125.59,114.2,5.33,0.19,Open Standard,,#BEBADA
360,Bandit 1250S,8-Jul,8299,I-4,6,99.2,77.1,560,39.3,152,3.36,8.4,11.34,115.92,116.5,5.65,0.18,Open Standard,,#CCCCCC
326,Bandit GS600S,3/00,5799,I-4,6,68.6,36.5,505,32.3,127,3.97,10.72,12.16,108.93,114.1,7.36,0.14,Middleweight Standard,,#FF7F00
19,Benelli Tre K,5-Aug,14799,I-3,6,99.9,70.8,534,30.6,144,3.12,7.39,10.95,121.57,118.5,5.35,0.19,Open Adventure-Tourer,,#BC80BD
20,Beta 450RS,9-Nov,8799,1,6,38.42,26.05,283,50.3,110.9,5.25,n/.a,13.93,89.93,134.74,7.36,0.14,Middleweight Dual-Sport,,#FC8D62
21,BMW C600,Feb-13,9590,I-2,CVT,46.02,39.08,556,43.6,114.6,6.4,n/.a,14.87,85.54,126.48,12.08,0.08,Maxi-Scooter,,#FB8072
443,Bolt,Sep-13,7990,V-2,5,48.18,53.74,511.5,48.7,95.6,6.02,n/.a,14.22,91.83,132.4,10.61,0.09,Middleweight Cruiser,,#FFFF33
380,Bonneville ’01,4-Jan,6999,I-2,5,53.9,40.8,500,41.1,114,5.2,17,13.52,96.97,115,9.28,0.11,Middleweight Standard,,#984EA3
381,Bonneville ’09,11-Sep,7699,I-2,5,56.31,43.48,492,48.4,120.1,5.21,15.62,13.52,97.83,117.1,8.73,0.11,Middleweight Standard,,#E31A1C
369,Boulevard C109RT,11-Aug,14999,V-2,5,97.7,97.1,878,31.9,126,4.33,n/.a,12.67,101.8,127.7,8.98,0.11,Heavyweight Cruiser,,#377EB8
366,Boulevard C90T,Feb-13,13999,V-2,5,68.5,84.1,801,34.1,113.5,4.89,n/.a,13.46,96.12,135.6,11.7,0.09,Heavyweight Cruiser,,#BEAED4
368,Boulevard M109R,6-Jun,12399,V-2,5,104.8,97.2,761,40.7,128,3.65,8.87,11.62,114.91,135.4,7.26,0.14,Heavyweight Cruiser,,#E7298A
352,Boulevard M50,6-May,6749,V-2,5,41.9,42.1,575,48,107,5.39,n/.a,13.99,88.88,118.3,13.72,0.07,Middleweight Cruiser,,#FFFF99
367,Boulevard M90,2-Sep,9999,V-2,5,69.37,82.68,725.5,33.9,118,4.73,n/.a,13.11,96.51,131.25,10.37,0.1,Heavyweight Cruiser,,#E6AB02
299,Breva 1100,8-Jun,12490,V-2,6,69.7,54.1,562,45.4,129,5.14,12.33,13.1,106.2,127.7,8.06,0.12,Open Standard,,#80B1D3
306,Breva 1200 Sport,6-Aug,13590,V-2,6,72.2,61.9,555,43.3,131,3.87,10.74,12.11,108.11,119.4,7.62,0.13,Open Sportbike,,#BF5B17
317,Brutale 1090RR,7-Oct,18000,I-4,6,121.08,71.85,470.5,30.3,153.5,2.99,6.29,10.5,130.98,115.1,3.89,0.26,Open Naked,,#66C2A5
315,Brutale 800 EAS,Feb-14,12498,I-3,6,115.35,55.11,410,34.4,141.75,3.75,7.17,11.1,127.11,125.5,3.55,0.28,Middleweight Naked,,#B15928
316,Brutale 910,1-Jul,14995,I-4,6,115.5,62.2,463.5,32,156,3.24,6.63,10.67,129.47,123.6,4.01,0.25,Open Naked,,#F2F2F2
73,Buell Blast,4/00,4395,1,5,27.3,25.3,389,55.4,94,7.19,n/.a,15.24,85,115.6,14.25,0.07,Lightweight Standard,,#F1E2CC
332,Burgman 650,5-Apr,7699,I-2,CVT,37.4,58.6,607,46.4,101,7,n/.a,15.19,84.9,120.8,16.23,0.06,Maxi-Scooter,,#1B9E77
333,Burgman 650 ABS ‘13,Jan-14,10999,I-2,CVT,41.1,30.4,615,51.16,96.2,6.74,n/.a,14.97,83.23,131.38,14.96,0.07,Maxi-Scooter,,
22,C650GT,Jan-14,9990,I-2,CVT,46.3,39.2,589,41.73,108.9,7.7,n/.a,15.56,86.6,131,12.71,0.08,Maxi-Scooter,,
84,Cagiva GC900 Gran Canyon,9/00,8995,V-2,6,61.5,50.9,517,37.2,119,4.07,n/.a,12.53,101.95,129.6,8.41,0.12,Open Adventure-Tourer,,
297,California,Jul-97,10990,V-2,5,59.3,58.4,540,55.2,117,5.31,n/.a,13.52,97.61,124,9.11,0.11,Heavyweight Cruiser,,
310,California 1400 Custom,Sep-13,14990,V-2,6,83.6,73,667,30,123.1,5.05,13,13.3,100.9,119.8,7.95,0.13,Heavyweight Cruiser,,
298,California Black Eagle,5-Nov,13490,V-2,5,67.81,58.44,589,45.3,112.8,5.17,n/.a,13.35,99.91,117.1,8.68,0.12,Heavyweight Cruiser,,
186,CB1000R,10-Nov,10999,I-4,6,109.44,64.45,480,44.3,141.7,3.15,7.29,10.99,121.16,114.5,4.38,0.23,Open Standard,,
192,CB1100,Jul-13,9999,I-4,5,84.16,64.62,540,46,110*,4.58,10.73,12.52,110.16,136,6.41,0.16,Open Standard,,
160,CB500FA,Aug-13,5499,I-2,6,45.8,30.8,423,52.8,106.9,6.03,n/.a,14.32,90.74,132.8,9.24,0.11,Middleweight Standard,,
161,CB500X,Nov-13,5999,I-2,6,45.8,30.8,427,57.2,101.25,5.74,n/.a,14.03,91.81,123.8,9.98,0.1,Middleweight Standard,,
189,CBR1000RR ’08,10-Aug,11599,I-4,6,150.9,75.7,440,38.5,178,2.95,5.5,9.94,143.12,122.8,2.91,0.34,Open Sportbike,,
187,CBR1000RR 11-Apr,11-Apr,10999,I-4,6,136.1,71.4,463,41,177,3.19,5.9,10.26,139.82,114.4,3.4,0.29,Open Sportbike,,
188,CBR1000RR 7-Jun,7-Jun,11299,I-4,6,142.6,73.3,449,37.7,177,3,5.54,9.99,143.39,117.5,3.15,0.32,Open Sportbike,,
198,CBR1100XX ’97,Apr-97,11499,I-4,6,132.9,76.4,555,41.7,170,2.91,6.06,10.24,134.52,112.4,4.18,0.24,Open Sportbike,,
199,CBR1100XX ’99,Apr-99,10999,I-4,6,134.4,80,563,40.5,174,2.91,5.99,10.24,136.98,115.3,4.19,0.24,Open Sportbike,,
156,CBR250R,4-Nov,3995,1,6,21.92,14.65,366,56.5,91.2,8.79,n/.a,16.32,75.83,124.3,16.7,0.06,Lightweight Sportbike,,
164,CBR600F3,May-97,7799,I-4,6,90.2,43,460,39.3,153,3.36,7.4,11.03,124.26,114.5,5.1,0.2,Middleweight Sportbike,,
165,CBR600F4 ’99,Feb-99,7899,I-4,6,94.1,42.9,435,39.7,156,3.46,7.71,11.19,122.78,115.5,4.62,0.22,Middleweight Sportbike,,
166,CBR600F4i ’01,3-Jan,8199,I-4,6,96.6,43.6,436,40.7,155,2.89,6.61,10.59,128.23,111.3,4.51,0.22,Middleweight Sportbike,,
167,CBR600F4i ’06,12-May,8499,I-4,6,90.1,40.3,440,36.7,156,3.52,7.94,11.26,121.56,123.5,4.88,0.2,Middleweight Sportbike,,
168,CBR600RR C-ABS,7-Sep,10799,I-4,6,99.61,43.01,435,43.1,158.3,3.18,7.03,10.89,125.53,126,4.36,0.23,Middleweight Sportbike,,
182,CBR900RR,May-98,9999,I-4,6,111.2,62.5,460,41,158,3.13,6.83,10.73,124.56,113.8,4.14,0.24,Open Sportbike,,
183,CBR900RR - 919,6-Feb,7999,I-4,6,96.4,62.6,481,37.5,143,3.22,7.27,10.79,123.54,112.1,4.99,0.2,Open Standard,,
184,CBR929RR,5/00,9999,I-4,6,123.8,64.9,438,39.2,165,2.88,6.63,10.12,135.86,113.6,3.54,0.28,Open Sportbike,,
222,Chief Vintage,Feb-14,20999,V-2,6,69.76,97.63,851,33.25,101.8,5.27,n/a,13.8,93.2,122,12.2,0.08,Heavyweight Cruiser,,
85,Cleveland Cyclewerks Misfit,11-Dec,3195,1,5,13.78,11.58,304.5,69.6,74.9,18.8,n/.a,19.38,62.39,171.3,22.1,0.05,Lightweight Café Racer,,
254,Concours ’97,Dec-96,9299,I-4,6,88.4,63.3,618,34.9,126,3.85,10.61,12.1,108.06,125.7,6.99,0.14,Open Sport-Tourer,,
271,Concours 14,12-Jul,12899,I-4,6,136.1,90.8,685,37.2,157,3.01,6.79,10.68,127.03,121.9,5.02,0.2,Open Sport-Tourer,,
272,Concours 14 ABS,8-Oct,15299,I-4,6,135.57,89.99,689.5,43.3,152.3,3.14,7.1,10.82,119.51,123,5.09,0.2,Open Sport-Tourer,,
273,Concours 14 ABS ‘11,2-Dec,15599,I-4,6,135.61,91.44,695.5,37.4,152.8,2.91,6.56,10.56,127.68,127.8,5.12,0.2,Open Sport-Tourer,,
157,CRF230L,12-Sep,4999,1,6,14.53,11.8,268,61.6,74.7,n/.a,n/.a,19.17,59.77,143.4,18.43,0.05,Lightweight Dual-Sport,,
158,CRF250L,Jan-13,4499,1,6,18.04,13.18,320.5,56,75.4,9.86,n/.a,16.85,72.5,133.05,17.77,0.06,Lightweight Dual-Sport,,
423,Cross Country,12-Oct,17999,V-2,6,79.91,92.54,806,42.3,117.3,4.79,n/.a,13.12,100.36,121.9,10.09,0.1,Heavyweight Cruiser,,
217,CSC Cobra Trike (Gold Wing),1-Nov,31177,O-6,5+R,n/.a,n/.a,1331,29.8,102.2,6.35,n/.a,14.45,88.85,216.1,13.23,0.08,Heavyweight Trike,,
153,CVO Fat Boy,4-May,27995,V-2,5,75.7,84.3,726,38.1,124,4.62,12.6,12.74,104.06,127.9,9.59,0.1,Heavyweight Cruiser,,
372,Daytona 650,11-May,7999,I-4,6,96.9,44,442,42.5,156,2.92,6.85,10.75,125.93,116.8,4.56,0.22,Middleweight Sportbike,,
373,Daytona 675,11-Jun,8999,I-3,6,105.7,48,417,40.3,159,3.42,7.2,10.96,127.32,124.5,3.95,0.25,Middleweight Sportbike,,
374,Daytona 675R ’11,7-Nov,11999,I-3,6,110.22,47.68,416.5,37.3,157.3,3.73,7.39,11.08,127.39,132.9,3.83,0.26,Middleweight Sportbike,,
375,Daytona 675R ’13,Dec-13,13499,I-3,6,117.6,50.3,421.5,35,156.8,4.02,7.53,10.92,128.87,132.1,3.58,0.28,Middleweight Sportbike,,
402,Daytona 955,12-Jan,10999,I-3,6,121.4,64.4,483,47.5,161,3.07,6.6,10.6,129.52,116.6,3.98,0.25,Open Sportbike,,
401,Daytona 955i ’99,Jul-99,10995,I-3,6,109.5,68.1,490,39.1,157,3.02,6.07,10.62,128.3,117.9,4.47,0.22,Open Sportbike,,
400,Daytona T595 ’97,Oct-97,10695,I-3,6,103.1,63.6,492,35.8,154,3.31,7.19,10.86,124.6,114.6,4.77,0.21,Open Sportbike,,
119,Diavel Carbon,6-Nov,19.995,L-2,6,134.3,79.65,519.5,38.5,157.2,2.8,5.88,10.22,132.81,107.9,3.87,0.26,Open Cruiser,,
357,DL1000 V-Strom,9-Feb,8899,V-2,6,89.2,65.6,523,43.7,124,3.61,8.96,11.56,114.1,118.4,5.86,0.17,Open Adventure-Tourer,,
338,DL650 ABS Adventure,5-Dec,9799,V-2,6,63.33,41.64,495.5,46.8,107.8,3.98,n/.a,12.45,102.05,132.42,7.82,0.13,Middleweight Adventure,,
337,DL650 V-Strom,5-Apr,6599,V-2,6,62,42.2,472,47.7,115,3.98,n/.a,12.52,101,122.9,7.61,0.13,Middleweight Dual-Sport,,
170,DN-01,6-Sep,15499,V-2,HFT,43.15,33.6,602.5,42.3,113.1,7.41,n/.a,15.41,87.42,124,13.91,0.07,Middleweight Cruiser,,
2,Dorsoduro,5-Oct,9499,V-2,6,77.56,46.63,468,36.9,128.3,3.83,10.12,12,128.3,115.4,6.27,0.16,Middleweight Supermoto,,
16,Dorsoduro 1200,1-Dec,11999,V-2,6,116.05,74,490.5,32,151,3.15,7.22,10.96,121.24,111.1,4.22,0.24,Open Supermoto,,
324,DR-Z400S,6-Oct,6099,1,5,32.35,23.79,320,54.3,90,6.47,n/.a,14.93,82.08,129.7,9.89,0.1,Middleweight Dual-Sport,,
323,DR-Z400SM,7-May,6099,1,5,33.4,25.6,319,44.4,94,5.45,n/.a,13.66,88.32,137.4,9.55,0.1,Middleweight Supermoto,,
335,DR650SE,Jul-96,5199,1,5,34.5,33.2,358,42.5,98,5.55,n/.a,14.03,89.87,118.9,10.38,0.1,Middleweight Dual-Sport,,
336,DR650SE ’07,10-Jul,5099,1,5,35.6,33.3,368,52.5,95,5.66,n/.a,14.03,85.11,131.7,10.34,0.1,Middleweight Dual-Sport,,
86,Ducati Monster 620ie,6-Feb,6495,L-2,5,54.3,36.5,424,51.9,116,4.31,12.29,12.52,104.24,113.7,7.81,0.13,Lightweight Standard,,
230,Eliminator 600,Apr-96,6199,I-2,6,61.1,34.9,470,40.9,114,3.83,n/.a,12.5,102.3,128.6,7.69,0.13,Middleweight Cruiser,,
237,ER-6N,8-Sep,6399,I-4,6,64.66,43.91,441.5,45.3,128.8,3.96,11.84,12.36,104.7,121.7,6.81,0.15,Middleweight Standard,,
7,ETV1000 Capo Nord,9-Feb,10999,V-2,6,82.7,59.2,568,44.3,132,3.71,9.68,11.8,111.62,125.4,6.87,0.15,Open Adventure-Tourer,,
206,F6 Valkyrie,Jul-96,12499,O-6,5,100,102.3,721,37.3,131,3.86,9.96,12.02,110.7,107.4,7.21,0.14,Heavyweight Cruiser,,
23,F650CS,10-Mar,8690,1,5,44.2,39.5,432,46.1,112,4.72,n/.a,13.07,99.9,116.5,9.77,0.1,Middleweight Standard,,
